city_id,city_name
MUMBAI,Mumbai
NCR,NCR
BANG,Bengaluru
HYD,Hyderabad
AHD,Ahmedabad
CHD,Chandigarh
CHEN,Chennai
PUNE,Pune
KOLK,Kolkata
KOCH,Kochi
ABOR,Abohar
ABRD,Abu Road
ACHM,Achampet
ADIL,Adilabad
AGOR,Agar Malwa
AGAR,Agartala
AGRA,Agra
AHMG,Ahmedgarh
AJMER,Ajmer
AKVD,Akividu
AKLJ,Akluj
AKOL,Akola
TKOT,Akot
ALNI,Alangudi
ALI,Aligarh
ALGD,Allagadda
ALMO,Almora
ADAM,Amadalavalasa
AMAP,Amalapuram
AMLN,Amalner
AMB,Ambala
AMBI,Ambikapur
AMBR,Ambur
AMGN,Amgaon
AMRA,Amravati
AMRI,Amritsar
ANKP,Anakapalle
AND,Anand
ANTT,Anantapalli
ANAN,Anantapur
ANHL,Anchal
ANEK,Anekal
ANDM,Angadipuram
ANGA,Angamaly
ANGR,Angara
ANGL,Angul
ANJA,Anjad
ANJR,Anjar
ANKV,Anklav
ANGI,Annigeri
AMBH,Arambagh
ARNT,Aranthangi
ARIY,Ariyalur
ARGU,Arkalgud
ARMO,Armoor
ARNI,Arni
ARSI,Arsikere
ASANSOL,Asansol
AKMP,Ashoknagar
ASWA,Aswaraopeta
ATLI,Attili
AURA,Aurangabad
AURW,Aurangabad (West Bengal)
AVII,Avinashi
AZMG,Azamgarh
BKOT,B. Kothakota
BAMA,Badami
BADN,Badaun
BADD,Baddi
BADA,Badnagar
BADR,Badnawar
BAGA,Bagalkot
BBHA,Bagbahara
BAPU,Bagha Purana
BAGU,Bagru
BAHD,Bahadurgarh
BHRH,Bahraich
BAID,Baidyabati
BIAH,Baihar
BKTH,Baikunthpur
BAND,Baindur
BART,Bakhrahat
BLGT,Balaghat
BALG,Balangir
BLSR,Balasore
BALD,Balod
BBCH,Baloda Bazar
BALO,Balotra
BLUR,Balrampur
BALU,Balurghat
BNGA,Banga
BAGT,Bangarpet
BANK,Banki
BANS,Banswara
BAPA,Bapatla
BARK,Barabanki
BARA,Baramati
BARN,Baran
BARD,Bardez
BARE,Bareilly
BEJA,Bareja
BARG,Bargarh
BARI,Baripada
BARM,Barmer
BAR,Barnala
BRWN,Barwani
BASN,Basna
BHAT,Bathinda
BTGD,Batlagundu
BEAW,Beawar
BELG,Belagavi (Belgaum)
BLVD,Belakavadi
BELL,Bellampalli
BLRY,Bellary
BELU,Belur
BRAC,Berachampa
BEHA,Berhampore
BERP,Berhampur
BHDR,Bhadrachalam
BDVT,Bhadravati
BHAN,Bhainsa
BHAA,Bhandara
BASA,Bharamasagara
BHAR,Bharuch
BTAP,Bhatapara
BAKL,Bhatkal
BATT,Bhattiprolu
BHNG,Bhavnagar
BHMG,Bheemgal
BHILAI,Bhilai
BMDE,Bhimadole
BHIM,Bhimavaram
BHWN,Bhiwani
BHOP,Bhopal
BHUB,Bhubaneswar
BHUJ,Bhuj
BHUN,Bhuntar
BHUP,Bhupalpalle
BHUS,Bhusawal
BHUV,Bhuvanagiri
GOA,Goa
BIDI,Bidadi
BIJ,Bijnor
BIK,Bikaner
BANJ,Bikramganj
BILR,Bilara
BILA,Bilaspur
BILG,Bilgi
BILI,Bilimora
BIRL,Biraul
BSRM,Bishrampur
BODI,Bodinayakanur
BOKA,Bokaro
BLPR,Bolpur
BONG,Bongaigaon
BJNG,Brajrajnagar
BULA,Bulandshahr
BURD,Burdwan
BRHP,Burhanpur
BYAD,Byadagi
CHAG,Chagallu
CHLS,Chalisgaon
CHLA,Challakere
CHAP,Challapalli
CHAJ,Chamarajnagar
CHAM,Champa
CHAD,Chandragiri
CKNA,Chandrakona
CHAN,Chandrapur
CNSY,Changanassery
CHGI,Channagiri
CPTN,Channapatna
CHEE,Cheepurupalli
