show_ID,theatre_ID,movie_ID,show_date,show_timing,seat_percent_available
30178,AAMU,ET00063107,2018-06-15,10:00 AM,88
30179,AAMU,ET00063107,2018-06-15,01:10 PM,97
30180,AAMU,ET00063107,2018-06-15,04:10 PM,100
30181,AAMU,ET00063107,2018-06-15,07:15 PM,89
30182,AAMU,ET00063107,2018-06-15,10:30 PM,90
151654,ADWD,ET00063107,2018-06-15,08:30 AM,82
151664,ADWD,ET00063107,2018-06-15,10:00 AM,52
151672,ADWD,ET00063107,2018-06-15,04:30 PM,83
151673,ADWD,ET00063107,2018-06-15,08:00 PM,79
151658,ADWD,ET00063107,2018-06-15,09:30 PM,82
151674,ADWD,ET00063107,2018-06-15,11:30 PM,82
41621,BCSA,ET00063107,2018-06-15,11:45 AM,100
41622,BCSA,ET00063107,2018-06-15,02:45 PM,100
41623,BCSA,ET00063107,2018-06-15,05:45 PM,100
41624,BCSA,ET00063107,2018-06-15,08:45 PM,100
7113,BIFU,ET00063107,2018-06-15,10:00 AM,92
7145,BIFU,ET00063107,2018-06-15,11:30 AM,100
7115,BIFU,ET00063107,2018-06-15,03:30 PM,100
7116,BIFU,ET00063107,2018-06-15,06:45 PM,96
7148,BIFU,ET00063107,2018-06-15,08:00 PM,92
7117,BIFU,ET00063107,2018-06-15,10:00 PM,98
66778,BISM,ET00063107,2018-06-15,08:00 AM,93
66772,BISM,ET00063107,2018-06-15,08:30 AM,92
66779,BISM,ET00063107,2018-06-15,11:30 AM,94
66780,BISM,ET00063107,2018-06-15,03:00 PM,95
66781,BISM,ET00063107,2018-06-15,06:30 PM,95
66782,BISM,ET00063107,2018-06-15,10:00 PM,93
44910,BMKK,ET00063107,2018-06-15,09:15 AM,96
44911,BMKK,ET00063107,2018-06-15,12:30 PM,99
44912,BMKK,ET00063107,2018-06-15,03:45 PM,100
44913,BMKK,ET00063107,2018-06-15,07:00 PM,100
44914,BMKK,ET00063107,2018-06-15,10:15 PM,100
8886,BRVP,ET00063107,2018-06-15,01:30 PM,100
8879,BRVP,ET00063107,2018-06-15,04:30 PM,100
8872,BRVP,ET00063107,2018-06-15,07:30 PM,100
8865,BRVP,ET00063107,2018-06-15,10:30 PM,53
18599,CCBI,ET00063107,2018-06-15,09:30 AM,82
18600,CCBI,ET00063107,2018-06-15,01:00 PM,85
18601,CCBI,ET00063107,2018-06-15,04:30 PM,85
18630,CCBI,ET00063107,2018-06-15,08:00 PM,100
18631,CCBI,ET00063107,2018-06-15,11:30 PM,85
24084,CCBU,ET00063107,2018-06-15,10:30 AM,83
8619,CCDM,ET00063107,2018-06-15,12:00 PM,87
8620,CCDM,ET00063107,2018-06-15,03:15 PM,90
8621,CCDM,ET00063107,2018-06-15,06:30 PM,85
8622,CCDM,ET00063107,2018-06-15,09:45 PM,28
10858,CCHA,ET00063107,2018-06-15,04:30 PM,90
10861,CCHA,ET00063107,2018-06-15,08:00 PM,90
10864,CCHA,ET00063107,2018-06-15,11:30 PM,78
13060,CLMM,ET00063107,2018-06-15,01:00 PM,80
13074,CLMM,ET00063107,2018-06-15,07:00 PM,67
16131,CNJH,ET00063107,2018-06-15,12:00 PM,64
16128,CNJH,ET00063107,2018-06-15,03:15 PM,88
16125,CNJH,ET00063107,2018-06-15,06:30 PM,80
40106,CPNM,ET00063107,2018-06-15,08:00 AM,73
40184,CPNM,ET00063107,2018-06-15,09:00 AM,83
40107,CPNM,ET00063107,2018-06-15,11:30 AM,68
40108,CPNM,ET00063107,2018-06-15,03:05 PM,62
40185,CPNM,ET00063107,2018-06-15,06:05 PM,81
40109,CPNM,ET00063107,2018-06-15,06:35 PM,64
40182,CPNM,ET00063107,2018-06-15,09:10 PM,84
40186,CPNM,ET00063107,2018-06-15,09:40 PM,80
40110,CPNM,ET00063107,2018-06-15,10:10 PM,28
84891,CPVM,ET00063107,2018-06-15,08:30 AM,83
85030,CPVM,ET00063107,2018-06-15,10:30 AM,82
84900,CPVM,ET00063107,2018-06-15,12:00 PM,70
85031,CPVM,ET00063107,2018-06-15,02:00 PM,83
84901,CPVM,ET00063107,2018-06-15,03:30 PM,68
85032,CPVM,ET00063107,2018-06-15,05:30 PM,80
