theatre_ID,theatre_name,theatre_lat,theatre_long,city,city_ID
AAMU,Ashok Anil Multiplex: Ulhasnagar,19.2251,73.1642,Ulhasnagar,ULHA
ADWD,"Carnival: IMAX, Wadala",19.0316,72.8811,Mumbai: South & Central,MCENT
BCSA,Star Big Cinemas: Ambarnath (W),19.2083,73.1966,Ulhasnagar,ULHA
BIFU,"Carnival: Funcity, Ulhasnagar",19.2254,73.1659,Ulhasnagar,ULHA
BISM,"Carnival: Sangam, Andheri",19.1123,72.8646,Mumbai: Western,MWEST
BMKK,Balaji Movieplex: Kopar Khairane,19.101,73.0102,Navi Mumbai,THAN
BRVP,Bahar Cinema: Vile Parle (E),19.109,72.8532,Mumbai: Western,MWEST
CCBI,"Carnival: Annex Mall, Borivali",19.216,72.8677,Mumbai: Western,MWEST
CCBU,"Carnival: Dreams Mall, Bhandup",19.1463,72.9367,Mumbai: South & Central,MCENT
CCDM,Chitra Cinema: Dadar (E),19.0136,72.8441,Mumbai: South & Central,MCENT
CCHA,"Carnival: Harmony Mall, Oshiwara",19.1575,72.8349,Mumbai: Western,MWEST
CLMM,Citylight Cinema: Mahim,19.0305,72.8415,Mumbai: South & Central,MCENT
CNJH,Chandan Cinema: Juhu,19.1148,72.8269,Mumbai: Western,MWEST
CPNM,"Cinepolis: Magnet Mall, Bhandup (W)",19.142,72.9314,Mumbai: South & Central,MCENT
CPVM,"Cinepolis: Viviana Mall, Thane",19.2085,72.9713,Mumbai: South & Central,MCENT
CXAE,PVR: Andheri (E),19.1165,72.8565,Mumbai: Western,MWEST
CXAG,PVR ICON: Versova (Gold),19.1416,72.8312,Mumbai: Western,MWEST
CXAW,PVR ICON: Versova,19.1416,72.8312,Mumbai: Western,MWEST
CXEM,"Cinemax: Eternity Mall, Thane",19.1871,72.9625,Mumbai: South & Central,MCENT
CXGH,"Cinemax: R Odeon Mall, Ghatkopar (E)",19.0795,72.9108,Mumbai: South & Central,MCENT
CXGW,Cinemax: Goregaon (W),19.1576,72.8452,Mumbai: Western,MWEST
CXKE,"PVR: Growel, Kandivali (E)",19.2026,72.86,Mumbai: Western,MWEST
CXKW,"PVR: Sona Shopping Centre, Kandivali (W)",19.2024,72.8508,Mumbai: Western,MWEST
CXKY,Cinemax: Kalyan,19.2542,73.1423,Kalyan,KALYAN
CXMI,"Cinemax: Infiniti Mall, Malad (W)",19.1865,72.8356,Mumbai: Western,MWEST
CXMR,PVR: Mira Road,19.2928,72.8717,Mumbai: Western,MWEST
CXSN,PVR: Sion,19.0417,72.8643,Mumbai: South & Central,MCENT
CXWM,"Cinemax: Wonder Mall, Thane",19.2211,72.977,Mumbai: South & Central,MCENT
DPLP,Matterden Carnival Cinemas (Deepak Talkies): Parel,19.0058,72.8306,Mumbai: South & Central,MCENT
DPVR,"PVR: Lodha Xperia, Palava",19.1649,73.0748,Mumbai: South & Central,MCENT
EXCE,New Excelsior Mukta A2 Cinemas: Fort,18.9375,72.8336,Mumbai: South & Central,MCENT
FMDA,"INOX: Thakur Mall, Dahisar",19.2633,72.8746,Mumbai: Western,MWEST
FNAN,"Cinepolis: Fun Republic Mall, Andheri (W)",19.1358,72.8332,Mumbai: Western,MWEST
FNCM,"Fun Cinemas: K Star Mall, Chembur",19.0524,72.9017,Mumbai: South & Central,MCENT
GATY,G7 Multiplex: Bandra (W),19.0615,72.8387,Mumbai: Western,MWEST
GCMG,Gold Cinema: Malad,19.1917,72.8204,Mumbai: Western,MWEST
GDCD,Gold Cinema: Dadar (E),19.0096,72.8423,Mumbai: South & Central,MCENT
GDTH,"Gold  Cinema: Shivaji Road, Thane (W)",19.1905,72.9766,Mumbai: South & Central,MCENT
GOCS,Gold Cinema: Santacruz (W),19.0895,72.8393,Mumbai: Western,MWEST
IMCM,Metro INOX Cinemas: Marine Lines,18.943,72.8289,Mumbai: South & Central,MCENT
KCMA,Kasturba Cinema: Malad,19.1879,72.8475,Mumbai: Western,MWEST
KKMT,K.K. Cinema: Kamothe,19.0124,73.0897,Navi Mumbai,THAN
KMMV,K Movie Star Multiplex: Vasai (W),19.3708,72.8137,Mumbai: Western,MWEST
KTMM,24 Karat: Jogeshwari,19.1411,72.8437,Mumbai: Western,MWEST
KURL,Bharat Cineplex: Kurla (W),19.0659,72.879,Mumbai: South & Central,MCENT
LIBE,Liberty Carnival Cinemas: Marine Lines,18.941,72.8275,Mumbai: South & Central,MCENT
MACE,Miraj Anupam Cinemas: Goregaon (E),19.1655,72.8512,Mumbai: Western,MWEST
MAXM,Max Movies: Nerul,19.0246,73.0227,Navi Mumbai,THAN
MCFF,Miraj Fun Fiesta Cinemas: Nallasopara,19.4246,72.8119,Mumbai: Western,MWEST
MCTK,Miraj Thakur Cinemas: Kandivali (E),19.2089,72.8725,Mumbai: Western,MWEST
MDVA,Miraj Dattani Cinemas: Vasai,19.3605,72.8123,Mumbai: Western,MWEST
MMMC,Maratha Mandir: Mumbai Central,18.9712,72.8221,Mumbai: South & Central,MCENT
MTCR,Movietime Cubic Mall: Chembur,19.0455,72.903,Mumbai: South & Central,MCENT
MTHB,"Movietime: The Hub, Goregaon",19.1548,72.8563,Mumbai: Western,MWEST
MTMA,Movietime: Malad,19.1893,72.8347,Mumbai: Western,MWEST
NCKK,Nishant Cinema: Kopar Khairane,19.0965,73.0127,Navi Mumbai,THAN
OSFK,Oracle Fun Square: Kharghar,19.0461,73.0727,Navi Mumbai,THAN
PCDR,Premiere Cinema: Dadar (E),19.0068,72.8405,Mumbai: South & Central,MCENT
PCMH,Paradise E-Square Cinema: Mahim,19.0372,72.8426,Mumbai: South & Central,MCENT
PGCD,Premier Gold: Dongri,18.9608,72.8381,Mumbai: South & Central,MCENT
PVAW,"PVR: Citi Mall, Andheri (W)",19.1387,72.8315,Mumbai: Western,MWEST
PVGR,"PVR ICON: Oberoi Mall, Goregaon (E)",19.1738,72.8606,Mumbai: Western,MWEST
PVJH,"PVR: Dynamix, Juhu",19.1149,72.8273,Mumbai: Western,MWEST
PVKG,"PVR: Market City, Kurla (Gold)",19.087,72.8903,Mumbai: South & Central,MCENT
PVKM,"PVR: Market City, Kurla (Premiere)",19.087,72.8903,Mumbai: South & Central,MCENT
PVMK,"PVR: Milap, Kandivali (W)",19.1961,72.8471,Mumbai: Western,MWEST
PVML,"PVR: Nirmal Lifestyle, Mulund (W)",19.1673,72.9371,Mumbai: South & Central,MCENT
PVPH,"PVR: Phoenix, Lower Parel",18.9952,72.8241,Mumbai: South & Central,MCENT
PZCD,Plaza Cinema: Dadar,19.0219,72.8429,Mumbai: South & Central,MCENT
